count,date,cage,predatortreatment,warmingtreatment,sticky_wingless,sticky_winged,sentinel_wingless,sentinel_winged,focal_wingless,focal_winged,ladybug_total,net_winged
0,2025-07-15,WP1,predator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WP2,predator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WP3,predator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WP4,predator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WP5,predator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WP6,predator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WP7,predator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WP8,predator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WP9,predator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WP10,predator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WN1,nopredator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WN2,nopredator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WN3,nopredator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WN4,nopredator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WN5,nopredator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WN6,nopredator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WN7,nopredator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WN8,nopredator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WN9,nopredator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,WN10,nopredator,warmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UP1,predator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UP2,predator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UP3,predator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UP4,predator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UP5,predator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UP6,predator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UP7,predator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UP8,predator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UP9,predator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UP10,predator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UN1,nopredator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UN2,nopredator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UN3,nopredator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UN4,nopredator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UN5,nopredator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UN6,nopredator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UN7,nopredator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UN8,nopredator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UN9,nopredator,unwarmed,0,0,0,0,50,0,2,NA
0,2025-07-15,UN10,nopredator,unwarmed,0,0,0,0,50,0,2,NA
1,2025-07-17,WP1,predator,warmed,0,0,0,0,220,2,2,NA
1,2025-07-17,WP2,predator,warmed,7,0,0,0,450,6,2,NA
1,2025-07-17,WP3,predator,warmed,0,9,0,0,381,16,2,NA
1,2025-07-17,WP4,predator,warmed,0,0,0,0,122,14,2,NA
1,2025-07-17,WP5,predator,warmed,0,0,0,0,197,6,2,NA
1,2025-07-17,WP6,predator,warmed,0,0,2,0,268,5,2,NA
1,2025-07-17,WP7,predator,warmed,0,0,19,2,315,12,2,NA
1,2025-07-17,WP8,predator,warmed,0,0,9,1,258,8,2,NA
1,2025-07-17,WP9,predator,warmed,0,0,0,1,286,7,2,NA
1,2025-07-17,WP10,predator,warmed,0,0,0,0,120,3,2,NA
1,2025-07-17,WN1,nopredator,warmed,0,0,2,0,450,6,2,NA
1,2025-07-17,WN2,nopredator,warmed,0,0,0,0,163,1,2,NA
1,2025-07-17,WN3,nopredator,warmed,0,0,0,0,77,2,2,NA
1,2025-07-17,WN4,nopredator,warmed,0,0,0,0,210,8,2,NA
1,2025-07-17,WN5,nopredator,warmed,0,0,7,0,169,2,2,NA
1,2025-07-17,WN6,nopredator,warmed,0,0,0,0,394,13,2,NA
1,2025-07-17,WN7,nopredator,warmed,0,0,0,0,210,3,2,NA
1,2025-07-17,WN8,nopredator,warmed,0,0,0,0,200,4,2,NA
1,2025-07-17,WN9,nopredator,warmed,0,0,0,0,394,13,2,NA
1,2025-07-17,WN10,nopredator,warmed,0,0,0,0,119,8,2,NA
1,2025-07-17,UP1,predator,unwarmed,0,0,0,0,40,0,2,NA
1,2025-07-17,UP2,predator,unwarmed,2,0,0,3,470,13,2,NA
1,2025-07-17,UP3,predator,unwarmed,0,0,8,1,63,0,2,NA
1,2025-07-17,UP4,predator,unwarmed,1,0,0,0,180,1,2,NA
1,2025-07-17,UP5,predator,unwarmed,0,0,0,0,170,0,2,NA
1,2025-07-17,UP6,predator,unwarmed,0,0,0,0,140,2,2,NA
1,2025-07-17,UP7,predator,unwarmed,0,0,2,0,100,3,2,NA
1,2025-07-17,UP8,predator,unwarmed,0,0,0,0,80,8,2,NA
1,2025-07-17,UP9,predator,unwarmed,0,0,2,0,35,1,2,NA
1,2025-07-17,UP10,predator,unwarmed,0,0,0,0,210,5,2,NA
1,2025-07-17,UN1,nopredator,unwarmed,0,0,0,0,408,0,2,NA
1,2025-07-17,UN2,nopredator,unwarmed,0,0,0,0,390,2,2,NA
1,2025-07-17,UN3,nopredator,unwarmed,0,0,7,0,10,0,2,NA
1,2025-07-17,UN4,nopredator,unwarmed,0,0,25,2,200,1,2,NA
1,2025-07-17,UN5,nopredator,unwarmed,0,0,0,0,198,4,2,NA
1,2025-07-17,UN6,nopredator,unwarmed,0,0,0,0,354,4,2,NA
