cage,warmingtreatment,predatortreatment,period,leaves,height
WP1,warmed,predator,start,80,72
WP2,warmed,predator,start,94,102
WP3,warmed,predator,start,68,98
WP4,warmed,predator,start,NA,NA
WP5,warmed,predator,start,81,90
WP6,warmed,predator,start,85,87
WP7,warmed,predator,start,62,92
WP8,warmed,predator,start,78,98
WP9,warmed,predator,start,90,92
WP10,warmed,predator,start,72,91
WN1,warmed,nopredator,start,92,105
WN2,warmed,nopredator,start,86,98
WN3,warmed,nopredator,start,NA,NA
WN4,warmed,nopredator,start,58,89
WN5,warmed,nopredator,start,118,89
WN6,warmed,nopredator,start,69,95
WN7,warmed,nopredator,start,88,88
WN8,warmed,nopredator,start,59,92
WN9,warmed,nopredator,start,NA,NA
WN10,warmed,nopredator,start,97,68
UP1,unwarmed,predator,start,98,93
UP2,unwarmed,predator,start,NA,NA
UP3,unwarmed,predator,start,82,93
UP4,unwarmed,predator,start,98,89
UP5,unwarmed,predator,start,88,99
UP6,unwarmed,predator,start,77,93
UP7,unwarmed,predator,start,NA,NA
UP8,unwarmed,predator,start,85,90
UP9,unwarmed,predator,start,98,98
UP10,unwarmed,predator,start,82,94
UN1,unwarmed,nopredator,start,80,98
UN2,unwarmed,nopredator,start,112,99
UN3,unwarmed,nopredator,start,78,98
UN4,unwarmed,nopredator,start,104,93
UN5,unwarmed,nopredator,start,60,84
UN6,unwarmed,nopredator,start,86,94
UN7,unwarmed,nopredator,start,81,92
UN8,unwarmed,nopredator,start,92,88
UN9,unwarmed,nopredator,start,46,99
UN10,unwarmed,nopredator,start,82,95
WP1,warmed,predator,end,52,83
WP2,warmed,predator,end,45,97
WP3,warmed,predator,end,50,93
WP4,warmed,predator,end,NA,NA
WP5,warmed,predator,end,79,88
WP6,warmed,predator,end,21,91
WP7,warmed,predator,end,0,92
WP8,warmed,predator,end,62,97
WP9,warmed,predator,end,24,92
WP10,warmed,predator,end,84,92
WN1,warmed,nopredator,end,16,98
WN2,warmed,nopredator,end,0,89
WN3,warmed,nopredator,end,NA,NA
WN4,warmed,nopredator,end,45,91
WN5,warmed,nopredator,end,50,92
WN6,warmed,nopredator,end,50,97
WN7,warmed,nopredator,end,33,94
WN8,warmed,nopredator,end,12,94
WN9,warmed,nopredator,end,NA,NA
WN10,warmed,nopredator,end,82,74
UP1,unwarmed,predator,end,76,94
UP2,unwarmed,predator,end,NA,NA
UP3,unwarmed,predator,end,62,86
UP4,unwarmed,predator,end,52,90
UP5,unwarmed,predator,end,49,108
UP6,unwarmed,predator,end,66,97
UP7,unwarmed,predator,end,NA,NA
UP8,unwarmed,predator,end,25,87
UP9,unwarmed,predator,end,89,96
UP10,unwarmed,predator,end,41,101
UN1,unwarmed,nopredator,end,21,97
UN2,unwarmed,nopredator,end,88,96
UN3,unwarmed,nopredator,end,29,95
UN4,unwarmed,nopredator,end,9,96
UN5,unwarmed,nopredator,end,0,83
UN6,unwarmed,nopredator,end,31,97
UN7,unwarmed,nopredator,end,64,98
UN8,unwarmed,nopredator,end,102,98
UN9,unwarmed,nopredator,end,20,99
UN10,unwarmed,nopredator,end,50,94
